lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
увольнение	NOUN	1700	1700-1916	1700-1916_увольнение_5286		Издав эту инструкцию, крестьянское присутствие, очевидно, полагало, что оно разыскало и покарало всех виновных в пьянстве: и пьяниц и начальников над пьяницами; наказаны будут и те, кто пьет до обедни, и тот, кто валяется в канаве, и тот, кто разоряется: арест, общественные работы, телесное наказание; наказываются также и начальники: штраф, арест, увольнение, предание суду.	350:360	0:376	5286	rushifteval	ru
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5287		Я передал ей сигареты и свое заявление об увольнении.	42:52	0:53	5287	rushifteval	ru
увольнение	NOUN	1700	1700-1916	1700-1916_увольнение_5288		Рабочие всех мастерских старого Путиловского завода, узнав об этом факте, потребовали от директора завода немедленного увольнения Вейнберга.	119:129	0:140	5288	rushifteval	ru
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5289		-- Вчера, когда вы вернулись из увольнения, вы назвали сержанта лжецом -- Да, сэр!	32:42	0:82	5289	rushifteval	ru
увольнение	NOUN	1700	1700-1916	1700-1916_увольнение_5290		При заседании обеих палат 9 мая 1626 года пэры и депутаты настоятельно требовали от короля увольнения Бекингэма и предания его суду как государственного изменника.	91:101	0:163	5290	rushifteval	ru
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5291		Иногда мгновенного увольнения не получалось, тогда я упрямо дожимал свое намерение и старался правильно обосновать для коллектива свою жестокую акцию.	19:29	0:150	5291	rushifteval	ru
увольнение	NOUN	1700	1700-1916	1700-1916_увольнение_5292		Увольнение учительницы.	0:10	0:23	5292	rushifteval	ru
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5293		"Облачившись в шинель и приладив башлык и пояс, я ""явился"" к заведующему командой и отрапортовал: -- Вольноопределяющийся Вишняк является для увольнения в отпуск."	144:154	0:161	5293	rushifteval	ru
увольнение	NOUN	1700	1700-1916	1700-1916_увольнение_5294		Святополк, видя, что Василько его правильно о увольнении просит и не зная от смятения, что с ним говорить или советовать, просил его, чтоб у него только позавтракал.	46:56	0:165	5294	rushifteval	ru
увольнение	NOUN	1918	1918-1990	1918-1990_увольнение_5295		Кровавая полицейская расправа с участниками рабочей забастовки, случайным свидетелем которой он стал, беззаконные увольнения старых рабочих, не угодивших Казмару, -- все это заставляет Ондржея крепко задуматься.	114:124	0:211	5295	rushifteval	ru
увольнение	NOUN	1700	1700-1916	1700-1916_увольнение_5296		Черныш был прислан в Ефремовку неким земским начальником в начале 1912 года и, все время до своего увольнения, не был назначен на должность писаря сельским сходом, который не желал иметь его у себя и назначал ему жалованья, вместо 600 руб. всего 400 руб. в год.	99:109	0:261	5296	rushifteval	ru
