identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_лишение_2442-14	1918-1990_лишение_2443-14	0	4		лишение
1700-1916_лишение_2440-14	1918-1990_лишение_2441-14	0	3		лишение
1700-1916_лишение_2412-14	1918-1990_лишение_2413-14	0	4		лишение
1700-1916_лишение_2464-14	1918-1990_лишение_2465-14	0	3		лишение
1700-1916_лишение_2414-14	1918-1990_лишение_2415-14	0	4		лишение
1700-1916_лишение_2468-14	1918-1990_лишение_2469-14	0	1		лишение
1700-1916_лишение_2416-14	1918-1990_лишение_2417-14	0	1		лишение
1700-1916_лишение_2456-14	1918-1990_лишение_2457-14	0	1		лишение
1700-1916_лишение_2466-14	1918-1990_лишение_2467-14	0	1		лишение
1700-1916_лишение_2420-14	1918-1990_лишение_2421-14	0	1		лишение
1700-1916_лишение_2460-14	1918-1990_лишение_2461-14	0	4		лишение
1700-1916_лишение_2422-14	1918-1990_лишение_2423-14	0	4		лишение
1700-1916_лишение_2458-14	1918-1990_лишение_2459-14	0	1		лишение
1700-1916_лишение_2424-14	1918-1990_лишение_2425-14	0	1		лишение
1700-1916_лишение_2418-14	1918-1990_лишение_2419-14	0	2		лишение
1700-1916_лишение_2462-14	1918-1990_лишение_2463-14	0	4		лишение
1700-1916_лишение_2444-14	1918-1990_лишение_2445-14	0	4		лишение
1700-1916_лишение_2426-14	1918-1990_лишение_2427-14	0	3		лишение
1700-1916_лишение_2432-14	1918-1990_лишение_2433-14	0	4		лишение
1700-1916_лишение_2428-14	1918-1990_лишение_2429-14	0	4		лишение
1700-1916_лишение_2454-14	1918-1990_лишение_2455-14	0	4		лишение
1700-1916_лишение_2430-14	1918-1990_лишение_2431-14	0	2		лишение
1700-1916_лишение_2452-14	1918-1990_лишение_2453-14	0	4		лишение
1700-1916_лишение_2438-14	1918-1990_лишение_2439-14	0	4		лишение
1700-1916_лишение_2450-14	1918-1990_лишение_2451-14	0	4		лишение
1700-1916_лишение_2434-14	1918-1990_лишение_2435-14	0	1		лишение
1700-1916_лишение_2410-14	1918-1990_лишение_2411-14	0	1		лишение
1700-1916_лишение_2448-14	1918-1990_лишение_2449-14	0	2		лишение
1700-1916_лишение_2446-14	1918-1990_лишение_2447-14	0	3		лишение
1700-1916_лишение_2436-14	1918-1990_лишение_2437-14	0	4		лишение
1700-1916_лишение_2448-14	1918-1990_лишение_2449-14	1	3		лишение
1700-1916_лишение_2454-14	1918-1990_лишение_2455-14	1	4		лишение
1700-1916_лишение_2442-14	1918-1990_лишение_2443-14	1	4		лишение
1700-1916_лишение_2458-14	1918-1990_лишение_2459-14	1	1		лишение
1700-1916_лишение_2452-14	1918-1990_лишение_2453-14	1	4		лишение
1700-1916_лишение_2456-14	1918-1990_лишение_2457-14	1	3		лишение
1700-1916_лишение_2460-14	1918-1990_лишение_2461-14	1	4		лишение
1700-1916_лишение_2450-14	1918-1990_лишение_2451-14	1	4		лишение
1700-1916_лишение_2462-14	1918-1990_лишение_2463-14	1	3		лишение
1700-1916_лишение_2464-14	1918-1990_лишение_2465-14	1	4		лишение
1700-1916_лишение_2446-14	1918-1990_лишение_2447-14	1	4		лишение
1700-1916_лишение_2466-14	1918-1990_лишение_2467-14	1	3		лишение
1700-1916_лишение_2468-14	1918-1990_лишение_2469-14	1	2		лишение
1700-1916_лишение_2444-14	1918-1990_лишение_2445-14	1	4		лишение
1700-1916_лишение_2410-14	1918-1990_лишение_2411-14	1	1		лишение
1700-1916_лишение_2416-14	1918-1990_лишение_2417-14	1	3		лишение
1700-1916_лишение_2434-14	1918-1990_лишение_2435-14	1	2		лишение
1700-1916_лишение_2426-14	1918-1990_лишение_2427-14	1	4		лишение
1700-1916_лишение_2438-14	1918-1990_лишение_2439-14	1	1		лишение
1700-1916_лишение_2412-14	1918-1990_лишение_2413-14	1	4		лишение
1700-1916_лишение_2424-14	1918-1990_лишение_2425-14	1	1		лишение
1700-1916_лишение_2430-14	1918-1990_лишение_2431-14	1	4		лишение
1700-1916_лишение_2414-14	1918-1990_лишение_2415-14	1	4		лишение
1700-1916_лишение_2432-14	1918-1990_лишение_2433-14	1	4		лишение
1700-1916_лишение_2418-14	1918-1990_лишение_2419-14	1	4		лишение
1700-1916_лишение_2428-14	1918-1990_лишение_2429-14	1	4		лишение
1700-1916_лишение_2420-14	1918-1990_лишение_2421-14	1	4		лишение
1700-1916_лишение_2436-14	1918-1990_лишение_2437-14	1	4		лишение
1700-1916_лишение_2422-14	1918-1990_лишение_2423-14	1	4		лишение
1700-1916_лишение_2440-14	1918-1990_лишение_2441-14	1	4		лишение
1700-1916_лишение_2434-14	1918-1990_лишение_2435-14	2	1		лишение
1700-1916_лишение_2446-14	1918-1990_лишение_2447-14	2	3		лишение
1700-1916_лишение_2422-14	1918-1990_лишение_2423-14	2	4		лишение
1700-1916_лишение_2430-14	1918-1990_лишение_2431-14	2	1		лишение
1700-1916_лишение_2450-14	1918-1990_лишение_2451-14	2	4		лишение
1700-1916_лишение_2428-14	1918-1990_лишение_2429-14	2	4		лишение
1700-1916_лишение_2452-14	1918-1990_лишение_2453-14	2	4		лишение
1700-1916_лишение_2426-14	1918-1990_лишение_2427-14	2	1		лишение
1700-1916_лишение_2410-14	1918-1990_лишение_2411-14	2	2		лишение
1700-1916_лишение_2448-14	1918-1990_лишение_2449-14	2	1		лишение
1700-1916_лишение_2444-14	1918-1990_лишение_2445-14	2	4		лишение
1700-1916_лишение_2454-14	1918-1990_лишение_2455-14	2	4		лишение
1700-1916_лишение_2442-14	1918-1990_лишение_2443-14	2	4		лишение
1700-1916_лишение_2458-14	1918-1990_лишение_2459-14	2	4		лишение
1700-1916_лишение_2418-14	1918-1990_лишение_2419-14	2	2		лишение
1700-1916_лишение_2460-14	1918-1990_лишение_2461-14	2	4		лишение
1700-1916_лишение_2416-14	1918-1990_лишение_2417-14	2	2		лишение
1700-1916_лишение_2456-14	1918-1990_лишение_2457-14	2	1		лишение
1700-1916_лишение_2462-14	1918-1990_лишение_2463-14	2	4		лишение
1700-1916_лишение_2436-14	1918-1990_лишение_2437-14	2	4		лишение
1700-1916_лишение_2424-14	1918-1990_лишение_2425-14	2	1		лишение
1700-1916_лишение_2414-14	1918-1990_лишение_2415-14	2	4		лишение
1700-1916_лишение_2466-14	1918-1990_лишение_2467-14	2	1		лишение
1700-1916_лишение_2412-14	1918-1990_лишение_2413-14	2	3		лишение
1700-1916_лишение_2468-14	1918-1990_лишение_2469-14	2	1		лишение
1700-1916_лишение_2438-14	1918-1990_лишение_2439-14	2	3		лишение
1700-1916_лишение_2432-14	1918-1990_лишение_2433-14	2	3		лишение
1700-1916_лишение_2464-14	1918-1990_лишение_2465-14	2	3		лишение
1700-1916_лишение_2440-14	1918-1990_лишение_2441-14	2	4		лишение
