lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang
локоть	NOUN	1700	1700-1916	1700-1916_локоть_2470		-- Да ты знаешь ли, господин офицер, -- прервал Шетнев, подойдя к Мамонову и толкнув потихоньку локтем Прокудина, -- что князь Андрей Шелешпанский, хотя еще в поре, однако ж давно уже уволен на покой ради его хворости и всегдашних недугов -- Знаем мы эти недуги! -- возразил Мамонов.	96:102	0:283	2470	rushifteval	ru
локоть	NOUN	1918	1918-1990	1918-1990_локоть_2471		-- А если он не даст Губы Нинет посинели, руки замерзли до локтей.	59:65	0:66	2471	rushifteval	ru
локоть	NOUN	1700	1700-1916	1700-1916_локоть_2472		К Полуянову подскочил какой-то взъерошенный субъект и хотел ухватить его за локти сзади.	76:81	0:88	2472	rushifteval	ru
локоть	NOUN	1918	1918-1990	1918-1990_локоть_2473		Исанка ласково просунула руку под его локоть.	38:44	0:45	2473	rushifteval	ru
локоть	NOUN	1700	1700-1916	1700-1916_локоть_2474		Жена его умерла, имея на левой руке до локтя самого опухоль и багросиневатые полосы, а пониже локтя имела она и большой нарыв, такожде от тела возвышенный и пупырьями окруженный*.	39:44	0:179	2474	rushifteval	ru
локоть	NOUN	1918	1918-1990	1918-1990_локоть_2475		Крепко взяв Геннадия за локоть, повел Кочергин его к своему дому.	24:30	0:65	2475	rushifteval	ru
локоть	NOUN	1700	1700-1916	1700-1916_локоть_2476		Он все видит, видит на пять локтей под землею.	28:34	0:46	2476	rushifteval	ru
локоть	NOUN	1918	1918-1990	1918-1990_локоть_2477		Отсутствие единого фронта, чувства локтя, согласованности -- вот что сделало возможным советский контрманевр.	35:40	0:109	2477	rushifteval	ru
локоть	NOUN	1700	1700-1916	1700-1916_локоть_2478		"Скорее всего, их можно объяснить или известною русскою пословицей: ""И близок локоть, да не укусишь"", или тем обстоятельством, что мы, провинциалы, охотно едим пирожное, когда нам подадут его, а если не подадут, то довольствуемся и арестантскими щами с несвежею солониной."	77:83	0:271	2478	rushifteval	ru
локоть	NOUN	1918	1918-1990	1918-1990_локоть_2479		Ксения низко кланялась, улыбаясь и прижимая к груди обнаженные по локоть руки.	66:72	0:78	2479	rushifteval	ru
локоть	NOUN	1700	1700-1916	1700-1916_локоть_2480		Мальчик вылез из-под стола и обтирал свои колени и локти.	51:56	0:57	2480	rushifteval	ru
