lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
блондин	NOUN	1918	1918-1990	1918-1990_блондин_978-15		В следующие два дня Марат видел ее в обществе, как он говорил, двух высоких голубоглазых блондинов и честно никак не показывал, что он знаком с этой женщиной.	89:98	0:158
блондин	NOUN	1918	1918-1990	1918-1990_блондин_1030-15		Впрочем, и среди самих ливийцев издревле встречались племена самого различного происхождения и различного антропологического типа, в том числе и светлопигментированные, говоря языком антропологов, "голубоглазые блондины".	211:219	0:221
блондин	NOUN	1918	1918-1990	1918-1990_блондин_1032-15		На длинной игреневой кобыле впереди Корниловского полка шагом едет командир, подполковник Неженцев, узколицый худой блондин, в пенсне.	116:123	0:134
блондин	NOUN	1918	1918-1990	1918-1990_блондин_994-15		А бабушка сказала мне, что нет, он был маленького роста, сгорбленный, курчавый блондин с голубыми большими глазами, блестящими, будто на них были слезы.	79:86	0:152
блондин	NOUN	1918	1918-1990	1918-1990_блондин_1008-15		К нам, разменной монете войны, полное безразличие: брюнет или блондин, социалист или индивидуалист, купец или приказчик.	62:69	0:120
блондин	NOUN	1918	1918-1990	1918-1990_блондин_980-15		Это те люди, которым не нравится воровать, которым противно лгать, обманывать, хитрить, которым чужд и противен садизм и насилие, иными словами такие люди, которые отличаются от других не происхождением (буржуазным, мелкобуржуазным, пролетарским или еще каким-то), не составом крови (как-то: белые, желтые, черные, русские, тюрки, украинцы, эстонцы и т.п.), не полом, ни цветом волос (рыжие, блондины или брюнеты), не еще какими-то вторичными социальными признаками (партийные, беспартийные), а признаками первичными, такими, по которым мы отличаем хорошего человека от плохого.	392:400	0:578
блондин	NOUN	1918	1918-1990	1918-1990_блондин_1006-15		О чем думать: о будущем Но какое ждет всех нас будущее, если все решится самое позднее через три часа Вышел второй пилот -- красавец, блондин с киноулыбкой, прошел по салону, проверяя обстановку, убедился: полный покой.	134:141	0:219
блондин	NOUN	1918	1918-1990	1918-1990_блондин_984-15		В столовой мое внимание как-то привлек красивый блондин с пышными волосами, около которого я оказался и с ним разговорился.	48:55	0:123
блондин	NOUN	1918	1918-1990	1918-1990_блондин_1028-15		Старший, кряжистый блондин, невозмутимо попыхивал короткой трубкой; итальянец, откинувшись к спинке стула, играл большим складным ножом; третий, самый молодой, сидел, широко расставив локти, навалившись грудью на стол, и смотрел на Олексина исподлобья, настороженно и недружелюбно.	19:26	0:281
блондин	NOUN	1918	1918-1990	1918-1990_блондин_986-15		Вошел ротмистр, великолепный блондин в пышных галифе.	29:36	0:53
блондин	NOUN	1918	1918-1990	1918-1990_блондин_990-15		Это был еще совсем молодой румяный блондин, неизменно носивший большую папаху из коричневой мерлушки и беленький Георгиевский крестик в петлице.	35:42	0:144
