lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5352-15		Однако строение этого углеводорода было расшифровано им неправильно.	22:34	0:68
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5356-15		Ему принадлежит открытие способа получения триметилена и его гомологов действием цинка на двугалоидопроизводные предельных углеводородов.	123:136	0:137
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5354-15		В 1884 г. А. П. Эльтеков представил в Совет Харьковского университета магистерскую диссертацию "Материалы по вопросу о молекулярных перемещениях между углеводородами ряда этилена и между предельными спиртами".	151:165	0:209
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5380-15		В дальнейшем им было показано, что ксантогеновый метод может быть с успехом применен для получения непредельных углеводородов с открытыми цепями.	112:125	0:145
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5396-15		Сегодня все более широкое распространение приобретает микробиологический способ производства белков и жиров -- их выделяют из бактерий, выращенных на углеводородах нефти.	150:163	0:170
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5382-15		Изучение С. В. Лебедевым оригинальными методами процесса полимеризации непредельных углеводородов дало не только ряд ценнейших, выводов для понимания механизма полимеризации, но и создало прочную теоретическую базу для решения вопроса, одного из самых трудных и самых важных как с чисто научной, так и с практической стороны, -- вопроса о синтезе каучука.	84:97	0:355
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5408-15		В 70-х годах А. М. Бутлеров приступает к продолжению начатых еще в Казани работ над непредельными углеводородами.	98:112	0:113
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5406-15		В полученном продукте содержались углеводороды, встречающиеся в сырой нефти.	34:46	0:76
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5404-15		Здесь нужно отметить выдающиеся работы действительного члена Белорусской Академии Наук Н. А. Прилежаева (1873-1944) над окислением непредельных углеводородов и их производных с одной или несколькими двойными связями гидроперекисью бензоила.	144:157	0:240
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5402-15		Появилось классическое определение К. Шорлеммера, не потерявшее смысла и сто лет спустя: "Органическая химия есть химия углеводородов и их производных, то есть продуктов, образующихся при замене водорода другими атомами или группами атомов".	120:133	0:241
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5400-15		В этом нет ничего "незаконного": известно, что этан можно получить из йодистого метила действием на него металлического натрия: Формально распространив этот "принцип замещения" на другие углеводороды, оказалось возможным называть их, пользуясь всего лишь несколькими тривиальными корнями, определяя число одинаковых радикалом-"заместителей" с помощью префиксов-числительных.	187:199	0:374
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5398-15		Каждый отдельный углеводород дает серию соединений, сходных с другими углеводородами.	17:28	0:85
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5394-15		Это можно объяснить тем, что первоначально окисленное вещество восстанавливалось углеродом и углеводородами, содержащимися в углистых хондритах.	93:107	0:144
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5392-15		В общем роды (G1, G2, G3 ) или линнеоны (L1, L2, L3 ) растений и животных также дают гомологичные ряды форм, как бы соответствующие различным гомологичным сериям углеводородов: G1L1 (а + b + с +...), G1 L2 (a + b + с + ...). G1 L3 (a + b + c+...), G2 L1 (a + b + c+...), G2 L2 (a + b + с +...), G2 L3 (a + b + с +...),...	162:175	0:321
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5390-15		Задача несколько облегчается тем, что окись углерода и углеводороды горючи и в принципе могут быть окислены до безвредных паров воды и углекислого газа.	55:67	0:152
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5388-15		Канифоль представляет собой сложную смесь органических веществ (ненасыщенных углеводородов и кислот), остающуюся после отгонки скипидара из смолы хвойных растений.	77:90	0:163
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5386-15		Но не исключено, что первичные углеводороды и другие органические вещества претерпели в недрах Земли лишь умеренные преобразования, в результате чего они превратились в нефть.	31:43	0:175
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5384-15		Демьянов защищает при Московском университете докторскую диссертацию "О действии азотного ангидрида и азотноватой окиси на этиленовые углеводороды.	134:146	0:147
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5358-15		На основе этой теории уже удалось интенсифицировать ряд промышленных процессов дегидрирования парафиновых и олефиновых углеводородов.	119:132	0:133
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5360-15		"Описание некоторых новых органических оснований, полученных действием сероводорода на соединения углеводородов с азотноватой кислотой", напечатанное в "Бюллетенях Петербургской Академии наук" в том же 1842 году, произвело огромное впечатление на научный мир, хотя никто еще не мог предвидеть, как часто и с каким успехом "реакция Зинина" будет применяться при синтезе самых разнообразных органических веществ.	98:111	0:410
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5410-15		Терпены -- углеводороды с общей формулой (C10H16)n.	11:23	0:51
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5362-15		К концу 1912 г. результаты своих, исследований Лебедев изложил в виде монографии "Исследования в области полимеризации двуэтиленовых углеводородов".	133:146	0:148
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5372-15		Не исключено, что они связаны со способностью таких соединений при попадании в клетку образовывать комплексы с некоторыми жизненно важными веществами, конфигурация которых удивительно схожа с формой молекул ароматических углеводородов.	221:234	0:235
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5376-15		Открыл носящий его имя метод синтеза органических веществ с помощью магний-галогеналкилов и -арилов (1900), широко применяемый для получении углеводородов, спиртов, эфиров, карбоновых кислот.	141:154	0:191
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5368-15		Углеводороды действительно встречаются в растительных и животных тканях, правда, в очень малых количествах -- обычно тысячных долях процента.	0:12	0:141
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5366-15		Созданная по этому принципу в СССР передвижная установка способна обработать в час до 500 кг буровых отходов -- в ее топке циклонного типа шлам полностью лишается углеводородов и потому не содержит более органических соединений.	163:176	0:228
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5378-15		В Лос-Анджелесе, например, почти 4 миллиона автомобилей, сжигая за сутки 8 миллионов галлонов бензина (больше, чем во всей Франции), ежедневно выбрасывают из выхлопных труб свыше 12 тысяч тонн углеводорода, окиси азота и окиси углерода, чего вполне достаточно для образования постоянного удушливого тумана.	193:205	0:306
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5364-15		Подобные же опыты проводятся Нейманом, Соколиком и сотрудниками над промежуточными продуктами окисления углеводородов и эфиров.	104:117	0:127
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5370-15		Бутлеров на заседании Русского химического общества сделал сообщение об открытии Густавсона: "...бромирование ароматических углеводородов в присутствии самых малых количеств бромистого алюминия, -- говорил он, -- идет весьма энергично и требует охлаждения до 0.	124:137	0:261
углеводород	NOUN	1918	1918-1990	1918-1990_углеводород_5374-15		Пиролиз -- это термический процесс расщепления углеводородов.	47:60	0:61
