lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
расчет	NOUN	1700	1700-1916	1700-1916_расчет_4340-16		При таком расчете подрядчик не в убытке, и китаец остается доволен им.	10:17	0:70
расчет	NOUN	1700	1700-1916	1700-1916_расчет_4394-16		Что за странный расчет выбирать для похода самую дурную пору!	16:22	0:61
расчет	NOUN	1700	1700-1916	1700-1916_расчет_4368-16		Выбор этих всех, чуждых старой знати, лиц делался всегда очень строго и всегда с определённым расчётом.	94:102	0:103
расчет	NOUN	1700	1700-1916	1700-1916_расчет_4346-16		Каким актом крестьянин был обеспечен в том, что расчет точно был окончен Никаким.	48:54	0:81
расчет	NOUN	1700	1700-1916	1700-1916_расчет_4338-16		Эта роковая неустойка и была главной причиной того, что я был затянут в издательство "Библиотеки" и не имел настолько практического навыка и расчета, чтобы пойти на ее уплату, прекратив издание раньше, например, к концу 1864 года.	141:148	0:230
расчет	NOUN	1700	1700-1916	1700-1916_расчет_4336-16		У них это обыкновенный: кому угодно, тот имеет лучше, какой угодно, но тогда особый расчет; а кто не требует себе особенного против того, что делается для всех, с тем нет никакого расчета.	84:90	0:188
расчет	NOUN	1700	1700-1916	1700-1916_расчет_4342-16		Работа делилась на двухнедельные "выписки", по которым в конторе производились все расчеты.	83:90	0:91
расчет	NOUN	1700	1700-1916	1700-1916_расчет_4344-16		Местные средства Вы, по-видимому, считаете тоже чем-то, что в расчет идти не должно, так как с одной стороны пишите о продовольственных затруднениях, о том, что армия голодная, а с другой стороны телеграфируете, что личные силы и средства недостаточны для того, чтобы в полной мере использовать богатства района (телеграмма Ваша генералу Санникову 1447).	62:68	0:354
расчет	NOUN	1700	1700-1916	1700-1916_расчет_4392-16		Как можно меньше сомнений, препирательств и экскурсий в области неизвестного и как можно больше сосредоточенности и аккуратности в расчетах по ежедневным затратам -- вот девиз торжествующей ограниченности.	131:139	0:205
расчет	NOUN	1700	1700-1916	1700-1916_расчет_4348-16		Конечно, не все товарные караваны рискуют приходить без оказии; даже этот, почти безопасный от туркмен, клочек предстоящего нам длинного пути, но наш отправится вперед, ибо если он выступит одновременно с нами, то, по медленности верблюжьего хода сравнительно с оказией, конечно, отстанет от нас на несколько дней пути, что не согласуется с расчетами Г--ва...	341:350	0:359
расчет	NOUN	1700	1700-1916	1700-1916_расчет_4352-16		Управляющий приступил к расчету работников и, как теперь оказывается, нагло мошенничал.	24:31	0:87
расчет	NOUN	1700	1700-1916	1700-1916_расчет_4360-16		Перед ним с вскосмаченными волосами, с окровавленным лицом стоял Федотка и, напрасно усиливаясь сдержать всхлипывания, кричал: -- Пожалуйте расчет!..	140:146	0:149
расчет	NOUN	1700	1700-1916	1700-1916_расчет_4354-16		3) Мы считаем, что в настоящее, трудное для России время долг каждого русского -- отложив в сторону неудовольствия, расчеты и пристрастие к тем или другим политическим теориям, -- есть долг непоколебимой верности русской земле и тому, кого она признает своим представителем, кому вверила оберегательство своей чести и целости, кому вручила свои судьбы.	116:123	0:352
расчет	NOUN	1700	1700-1916	1700-1916_расчет_4356-16		Чтобы обеспечить его будущее, дед решается на кражу, но честный, мечтательный мальчик не может проникнуть в расчеты старика, и вот однажды, когда, изгнанные из станицы по подозрению в краже они лежат у околицы и дед хвастливо показывает Леньке искусно припрятанные им украденные предметы, мальчик в одном из них узнает тот шелковый платок, по которому так убивалась одна станичная девочка, которую он напрасно старался утешить.	108:115	0:427
