identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_бригада_1124-16	1992-2016_бригада_1125-16	0	4		бригада
1700-1916_бригада_1106-16	1992-2016_бригада_1107-16	0	1		бригада
1700-1916_бригада_1132-16	1992-2016_бригада_1133-16	0	4		бригада
1700-1916_бригада_1126-16	1992-2016_бригада_1127-16	0	4		бригада
1700-1916_бригада_1134-16	1992-2016_бригада_1135-16	0	2		бригада
1700-1916_бригада_1110-16	1992-2016_бригада_1111-16	0	3		бригада
1700-1916_бригада_1156-16	1992-2016_бригада_1157-16	0	4		бригада
1700-1916_бригада_1146-16	1992-2016_бригада_1147-16	0	4		бригада
1700-1916_бригада_1098-16	1992-2016_бригада_1099-16	0	2		бригада
1700-1916_бригада_1100-16	1992-2016_бригада_1101-16	0	4		бригада
1700-1916_бригада_1142-16	1992-2016_бригада_1143-16	0	4		бригада
1700-1916_бригада_1102-16	1992-2016_бригада_1103-16	0	4		бригада
1700-1916_бригада_1128-16	1992-2016_бригада_1129-16	0	1		бригада
1700-1916_бригада_1104-16	1992-2016_бригада_1105-16	0	1		бригада
1700-1916_бригада_1130-16	1992-2016_бригада_1131-16	0	4		бригада
1700-1916_бригада_1144-16	1992-2016_бригада_1145-16	0	4		бригада
1700-1916_бригада_1122-16	1992-2016_бригада_1123-16	0	3		бригада
1700-1916_бригада_1108-16	1992-2016_бригада_1109-16	0	4		бригада
1700-1916_бригада_1120-16	1992-2016_бригада_1121-16	0	4		бригада
1700-1916_бригада_1140-16	1992-2016_бригада_1141-16	0	4		бригада
1700-1916_бригада_1112-16	1992-2016_бригада_1113-16	0	4		бригада
1700-1916_бригада_1118-16	1992-2016_бригада_1119-16	0	1		бригада
1700-1916_бригада_1148-16	1992-2016_бригада_1149-16	0	4		бригада
1700-1916_бригада_1152-16	1992-2016_бригада_1153-16	0	4		бригада
1700-1916_бригада_1116-16	1992-2016_бригада_1117-16	0	3		бригада
1700-1916_бригада_1154-16	1992-2016_бригада_1155-16	0	2		бригада
1700-1916_бригада_1136-16	1992-2016_бригада_1137-16	0	4		бригада
1700-1916_бригада_1150-16	1992-2016_бригада_1151-16	0	2		бригада
1700-1916_бригада_1114-16	1992-2016_бригада_1115-16	0	2		бригада
1700-1916_бригада_1138-16	1992-2016_бригада_1139-16	0	4		бригада
1700-1916_бригада_1146-16	1992-2016_бригада_1147-16	1	2		бригада
1700-1916_бригада_1108-16	1992-2016_бригада_1109-16	1	4		бригада
1700-1916_бригада_1152-16	1992-2016_бригада_1153-16	1	4		бригада
1700-1916_бригада_1126-16	1992-2016_бригада_1127-16	1	1		бригада
1700-1916_бригада_1128-16	1992-2016_бригада_1129-16	1	1		бригада
1700-1916_бригада_1142-16	1992-2016_бригада_1143-16	1	4		бригада
1700-1916_бригада_1148-16	1992-2016_бригада_1149-16	1	4		бригада
1700-1916_бригада_1144-16	1992-2016_бригада_1145-16	1	4		бригада
1700-1916_бригада_1140-16	1992-2016_бригада_1141-16	1	4		бригада
1700-1916_бригада_1150-16	1992-2016_бригада_1151-16	1	1		бригада
1700-1916_бригада_1134-16	1992-2016_бригада_1135-16	1	3		бригада
1700-1916_бригада_1132-16	1992-2016_бригада_1133-16	1	4		бригада
1700-1916_бригада_1106-16	1992-2016_бригада_1107-16	1	4		бригада
1700-1916_бригада_1156-16	1992-2016_бригада_1157-16	1	4		бригада
1700-1916_бригада_1138-16	1992-2016_бригада_1139-16	1	2		бригада
1700-1916_бригада_1112-16	1992-2016_бригада_1113-16	1	3		бригада
1700-1916_бригада_1114-16	1992-2016_бригада_1115-16	1	2		бригада
1700-1916_бригада_1116-16	1992-2016_бригада_1117-16	1	4		бригада
1700-1916_бригада_1136-16	1992-2016_бригада_1137-16	1	3		бригада
1700-1916_бригада_1118-16	1992-2016_бригада_1119-16	1	2		бригада
1700-1916_бригада_1120-16	1992-2016_бригада_1121-16	1	3		бригада
1700-1916_бригада_1130-16	1992-2016_бригада_1131-16	1	3		бригада
1700-1916_бригада_1122-16	1992-2016_бригада_1123-16	1	4		бригада
1700-1916_бригада_1124-16	1992-2016_бригада_1125-16	1	4		бригада
1700-1916_бригада_1098-16	1992-2016_бригада_1099-16	1	1		бригада
1700-1916_бригада_1100-16	1992-2016_бригада_1101-16	1	4		бригада
1700-1916_бригада_1110-16	1992-2016_бригада_1111-16	1	3		бригада
1700-1916_бригада_1102-16	1992-2016_бригада_1103-16	1	4		бригада
1700-1916_бригада_1104-16	1992-2016_бригада_1105-16	1	1		бригада
1700-1916_бригада_1154-16	1992-2016_бригада_1155-16	1	4		бригада
1700-1916_бригада_1132-16	1992-2016_бригада_1133-16	2	4		бригада
1700-1916_бригада_1136-16	1992-2016_бригада_1137-16	2	2		бригада
1700-1916_бригада_1128-16	1992-2016_бригада_1129-16	2	1		бригада
1700-1916_бригада_1140-16	1992-2016_бригада_1141-16	2	4		бригада
1700-1916_бригада_1130-16	1992-2016_бригада_1131-16	2	4		бригада
1700-1916_бригада_1134-16	1992-2016_бригада_1135-16	2	2		бригада
1700-1916_бригада_1156-16	1992-2016_бригада_1157-16	2	4		бригада
1700-1916_бригада_1152-16	1992-2016_бригада_1153-16	2	4		бригада
1700-1916_бригада_1124-16	1992-2016_бригада_1125-16	2	4		бригада
1700-1916_бригада_1154-16	1992-2016_бригада_1155-16	2	2		бригада
1700-1916_бригада_1114-16	1992-2016_бригада_1115-16	2	3		бригада
1700-1916_бригада_1116-16	1992-2016_бригада_1117-16	2	3		бригада
1700-1916_бригада_1120-16	1992-2016_бригада_1121-16	2	4		бригада
1700-1916_бригада_1122-16	1992-2016_бригада_1123-16	2	3		бригада
1700-1916_бригада_1118-16	1992-2016_бригада_1119-16	2	1		бригада
1700-1916_бригада_1110-16	1992-2016_бригада_1111-16	2	3		бригада
1700-1916_бригада_1098-16	1992-2016_бригада_1099-16	2	3		бригада
1700-1916_бригада_1100-16	1992-2016_бригада_1101-16	2	4		бригада
1700-1916_бригада_1104-16	1992-2016_бригада_1105-16	2	3		бригада
1700-1916_бригада_1106-16	1992-2016_бригада_1107-16	2	1		бригада
1700-1916_бригада_1138-16	1992-2016_бригада_1139-16	2	3		бригада
1700-1916_бригада_1112-16	1992-2016_бригада_1113-16	2	3		бригада
1700-1916_бригада_1142-16	1992-2016_бригада_1143-16	2	4		бригада
1700-1916_бригада_1144-16	1992-2016_бригада_1145-16	2	4		бригада
1700-1916_бригада_1146-16	1992-2016_бригада_1147-16	2	4		бригада
1700-1916_бригада_1148-16	1992-2016_бригада_1149-16	2	4		бригада
1700-1916_бригада_1150-16	1992-2016_бригада_1151-16	2	4		бригада
1700-1916_бригада_1126-16	1992-2016_бригада_1127-16	2	1		бригада
1700-1916_бригада_1102-16	1992-2016_бригада_1103-16	2	3		бригада
