identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_центр_6110-14	1918-1990_центр_6111-14	0	1		центр
1700-1916_центр_6120-14	1918-1990_центр_6121-14	0	2		центр
1700-1916_центр_6076-14	1918-1990_центр_6077-14	0	3		центр
1700-1916_центр_6072-14	1918-1990_центр_6073-14	0	4		центр
1700-1916_центр_6108-14	1918-1990_центр_6109-14	0	1		центр
1700-1916_центр_6070-14	1918-1990_центр_6071-14	0	3		центр
1700-1916_центр_6116-14	1918-1990_центр_6117-14	0	4		центр
1700-1916_центр_6096-14	1918-1990_центр_6097-14	0	2		центр
1700-1916_центр_6122-14	1918-1990_центр_6123-14	0	3		центр
1700-1916_центр_6112-14	1918-1990_центр_6113-14	0	4		центр
1700-1916_центр_6098-14	1918-1990_центр_6099-14	0	1		центр
1700-1916_центр_6078-14	1918-1990_центр_6079-14	0	2		центр
1700-1916_центр_6092-14	1918-1990_центр_6093-14	0	2		центр
1700-1916_центр_6100-14	1918-1990_центр_6101-14	0	3		центр
1700-1916_центр_6074-14	1918-1990_центр_6075-14	0	1		центр
1700-1916_центр_6118-14	1918-1990_центр_6119-14	0	1		центр
1700-1916_центр_6102-14	1918-1990_центр_6103-14	0	1		центр
1700-1916_центр_6068-14	1918-1990_центр_6069-14	0	4		центр
1700-1916_центр_6082-14	1918-1990_центр_6083-14	0	2		центр
1700-1916_центр_6066-14	1918-1990_центр_6067-14	0	4		центр
1700-1916_центр_6084-14	1918-1990_центр_6085-14	0	2		центр
1700-1916_центр_6090-14	1918-1990_центр_6091-14	0	1		центр
1700-1916_центр_6094-14	1918-1990_центр_6095-14	0	1		центр
1700-1916_центр_6124-14	1918-1990_центр_6125-14	0	2		центр
1700-1916_центр_6086-14	1918-1990_центр_6087-14	0	3		центр
1700-1916_центр_6080-14	1918-1990_центр_6081-14	0	3		центр
1700-1916_центр_6104-14	1918-1990_центр_6105-14	0	2		центр
1700-1916_центр_6088-14	1918-1990_центр_6089-14	0	1		центр
1700-1916_центр_6114-14	1918-1990_центр_6115-14	0	1		центр
1700-1916_центр_6106-14	1918-1990_центр_6107-14	0	1		центр
1700-1916_центр_6076-14	1918-1990_центр_6077-14	1	1		центр
1700-1916_центр_6114-14	1918-1990_центр_6115-14	1	2		центр
1700-1916_центр_6092-14	1918-1990_центр_6093-14	1	2		центр
1700-1916_центр_6068-14	1918-1990_центр_6069-14	1	4		центр
1700-1916_центр_6072-14	1918-1990_центр_6073-14	1	1		центр
1700-1916_центр_6070-14	1918-1990_центр_6071-14	1	2		центр
1700-1916_центр_6122-14	1918-1990_центр_6123-14	1	2		центр
1700-1916_центр_6080-14	1918-1990_центр_6081-14	1	4		центр
1700-1916_центр_6090-14	1918-1990_центр_6091-14	1	1		центр
1700-1916_центр_6088-14	1918-1990_центр_6089-14	1	2		центр
1700-1916_центр_6084-14	1918-1990_центр_6085-14	1	1		центр
1700-1916_центр_6082-14	1918-1990_центр_6083-14	1	2		центр
1700-1916_центр_6074-14	1918-1990_центр_6075-14	1	1		центр
1700-1916_центр_6078-14	1918-1990_центр_6079-14	1	3		центр
1700-1916_центр_6110-14	1918-1990_центр_6111-14	1	1		центр
1700-1916_центр_6096-14	1918-1990_центр_6097-14	1	3		центр
1700-1916_центр_6066-14	1918-1990_центр_6067-14	1	2		центр
1700-1916_центр_6124-14	1918-1990_центр_6125-14	1	1		центр
1700-1916_центр_6104-14	1918-1990_центр_6105-14	1	1		центр
1700-1916_центр_6102-14	1918-1990_центр_6103-14	1	1		центр
1700-1916_центр_6100-14	1918-1990_центр_6101-14	1	2		центр
1700-1916_центр_6098-14	1918-1990_центр_6099-14	1	4		центр
1700-1916_центр_6106-14	1918-1990_центр_6107-14	1	4		центр
1700-1916_центр_6108-14	1918-1990_центр_6109-14	1	1		центр
1700-1916_центр_6120-14	1918-1990_центр_6121-14	1	4		центр
1700-1916_центр_6118-14	1918-1990_центр_6119-14	1	3		центр
1700-1916_центр_6086-14	1918-1990_центр_6087-14	1	1		центр
1700-1916_центр_6094-14	1918-1990_центр_6095-14	1	1		центр
1700-1916_центр_6116-14	1918-1990_центр_6117-14	1	1		центр
1700-1916_центр_6112-14	1918-1990_центр_6113-14	1	3		центр
1700-1916_центр_6118-14	1918-1990_центр_6119-14	2	1		центр
1700-1916_центр_6088-14	1918-1990_центр_6089-14	2	3		центр
1700-1916_центр_6112-14	1918-1990_центр_6113-14	2	3		центр
1700-1916_центр_6102-14	1918-1990_центр_6103-14	2	4		центр
1700-1916_центр_6124-14	1918-1990_центр_6125-14	2	2		центр
1700-1916_центр_6086-14	1918-1990_центр_6087-14	2	1		центр
1700-1916_центр_6104-14	1918-1990_центр_6105-14	2	1		центр
1700-1916_центр_6084-14	1918-1990_центр_6085-14	2	1		центр
1700-1916_центр_6120-14	1918-1990_центр_6121-14	2	3		центр
1700-1916_центр_6082-14	1918-1990_центр_6083-14	2	4		центр
1700-1916_центр_6108-14	1918-1990_центр_6109-14	2	3		центр
1700-1916_центр_6066-14	1918-1990_центр_6067-14	2	3		центр
1700-1916_центр_6100-14	1918-1990_центр_6101-14	2	3		центр
1700-1916_центр_6114-14	1918-1990_центр_6115-14	2	1		центр
1700-1916_центр_6090-14	1918-1990_центр_6091-14	2	1		центр
1700-1916_центр_6098-14	1918-1990_центр_6099-14	2	2		центр
1700-1916_центр_6078-14	1918-1990_центр_6079-14	2	1		центр
1700-1916_центр_6092-14	1918-1990_центр_6093-14	2	2		центр
1700-1916_центр_6096-14	1918-1990_центр_6097-14	2	1		центр
1700-1916_центр_6080-14	1918-1990_центр_6081-14	2	1		центр
1700-1916_центр_6122-14	1918-1990_центр_6123-14	2	4		центр
1700-1916_центр_6094-14	1918-1990_центр_6095-14	2	1		центр
1700-1916_центр_6068-14	1918-1990_центр_6069-14	2	2		центр
1700-1916_центр_6076-14	1918-1990_центр_6077-14	2	2		центр
1700-1916_центр_6106-14	1918-1990_центр_6107-14	2	2		центр
1700-1916_центр_6070-14	1918-1990_центр_6071-14	2	4		центр
