lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
заблуждение	NOUN	1700	1700-1916	1700-1916_заблуждение_1874-16		"Заблуждение скоро исчезло, -- продолжал он, -- и вы знаете, кто первый дерзнул обличать Самозванца; но голова моя лежала на плахе, а злодей спокойно величался на престоле: Москва не тронулась!"	1:12	0:194
заблуждение	NOUN	1700	1700-1916	1700-1916_заблуждение_1820-16		Я знаю и понимаю, что давно бы мне следовало оставить заблуждения, давно пора бы предать забвению письменные принадлежности и вообще "забыться и заснуть", но -- увы! -- обстоятельства сильнее меня.	54:65	0:197
заблуждение	NOUN	1700	1700-1916	1700-1916_заблуждение_1818-16		Эмилия грустила, но утешилась мыслью, что она следует движению непобедимого чувства и что любовь ее ко мне есть героическая, -- утешение, к которому обыкновенно прибегают женщины в заблуждениях страсти или воображения!	181:193	0:218
заблуждение	NOUN	1700	1700-1916	1700-1916_заблуждение_1816-16		Бледный и суровый, явился перед кадетами Броневский и объявил, что он теперь убедился, что злая язва глубоко вкоренилась между кадетами, что он решился эту язву, эту гидру радикально искоренить, что он знает всех зачинщиков беспорядков и требует, чтобы они добровольно выступили перед фронтом и покаялись в своих заблуждениях.	313:325	0:326
заблуждение	NOUN	1700	1700-1916	1700-1916_заблуждение_1842-16		Осуждение Оригена послужило толчком к разработке византийского богословия с новых точек зрения, а борьба с его заблуждениями составила важный отрицательный фактор в этой разработке.	111:124	0:181
заблуждение	NOUN	1700	1700-1916	1700-1916_заблуждение_1844-16		Вскоре, впрочем, это значение раскрылось само собой, как раскрылось и одно другое мое заблуждение, тесно связанное с первым.	86:97	0:124
заблуждение	NOUN	1700	1700-1916	1700-1916_заблуждение_1868-16		Если он повинуется предметам его окружающим, и если соитие внешних причин приводит его в заблуждение, то ясно, что отъемля причину другия воспоследствуют действии.	89:100	0:163
заблуждение	NOUN	1700	1700-1916	1700-1916_заблуждение_1866-16		Представления истины их не трогают, ибо они закоренели в заблуждениях.	57:69	0:70
заблуждение	NOUN	1700	1700-1916	1700-1916_заблуждение_1864-16		Но если все люди согласны, что дружество прелестно, почто же не ищут наслаждаться сим благом Не есть ли сие заблуждение слепого человечества и следствие развращения оного -- желать блаженства, иметь его в своих руках и убегать его Выгоды дружества блистательны сами собою: вся природа единогласно подтверждает, что они приятнейшие изо всех благ земных.	108:119	0:352
заблуждение	NOUN	1700	1700-1916	1700-1916_заблуждение_1862-16		Действительно, начальство было введено в заблуждение запиской Кириллова.	41:52	0:72
