lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
линейка	NOUN	1700	1700-1916	1700-1916_линейка_2386-16		Линейку и телегу ставили на полянке, а поблизости в кустах и на опушке няньки водили за руку меня и Алешу, чтобы мы не забежали далеко.	0:7	0:135
линейка	NOUN	1700	1700-1916	1700-1916_линейка_2412-16		Желая окончательно прельстить всех сидевших в линейке, я отстал немного, потом с помощью хлыста и ног разогнал свою лошадку, принял непринужденно-грациозное положение и хотел вихрем пронестись мимо их, с той стороны, с которой сидела Катенька.	46:53	0:243
линейка	NOUN	1700	1700-1916	1700-1916_линейка_2402-16		Это длинная желобообразная в метр и даже более линейка, шириною в ладонь, с обостренными краями, сделанная из гибкого и упругого дерева.	47:54	0:136
линейка	NOUN	1700	1700-1916	1700-1916_линейка_2414-16		Петух опять пришел, на этот раз в сопровождении дядьки, несшего на плечах большую корзину с книгами, тетрадями, перьями, карандашами, резинками и линейками.	146:155	0:156
линейка	NOUN	1700	1700-1916	1700-1916_линейка_2384-16		-- Я не желаю слушать тебя, негодяй! -- сказал отец и взял со стола линейку.	68:75	0:76
линейка	NOUN	1700	1700-1916	1700-1916_линейка_2370-16		Напрасно убеждал я себя, что уединение и занятия лучше общества, особенно общества лагерной линейки, -- привычка гнала меня с наступлением вечера куда бы то ни было.	92:99	0:165
линейка	NOUN	1700	1700-1916	1700-1916_линейка_2368-16		-- А он сделал это очень просто: взял колею от своего деда и продолжил ее, как по линейке, до будущего своего внука и был покоен, не подозревая, что варьяции Герца, мечты и рассказы матери, галерея и будуар в княжеском замке обратят узенькую немецкую колею в такую широкую дорогу, какая не снилась ни деду его, ни отцу, ни ему самому.	82:89	0:334
линейка	NOUN	1700	1700-1916	1700-1916_линейка_2366-16		В самом деле, у крыльца большого дома стояла городская извозчичья линейка.	66:73	0:74
линейка	NOUN	1700	1700-1916	1700-1916_линейка_2364-16		Два года с половиной я прожил с великим художником и видел, как под бременем гонений и несчастий разлагался этот сильный человек, павший жертвою приказно-казарменного самовластия, тупо меряющего все на свете рекрутской меркой и канцелярской линейкой.	241:249	0:250
линейка	NOUN	1700	1700-1916	1700-1916_линейка_2362-16		Вот досада! -- произнес Бацов, показывая на стоявшую вдали линейку, запряженную шестериком, с форейтором.	59:66	0:105
линейка	NOUN	1700	1700-1916	1700-1916_линейка_2360-16		Во время отступления линейка, на которой ехали сестры ее отряда, попала под сильный ружейный обстрел, и сестра Звегинцева была убита наповал.	21:28	0:141
