lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
правда	NOUN	1700	1700-1916	1700-1916_правда_3856-16		-- Василий Федоров, правду говорит племянник -- Нет, ваше высокородие, это не так.	20:26	0:82
правда	NOUN	1700	1700-1916	1700-1916_правда_3910-16		И надо быть маловерным, чтобы не надеяться, что в эту опустошенную душу может упасть благодатная роса правды положительной, творческой.	102:108	0:135
правда	NOUN	1700	1700-1916	1700-1916_правда_3912-16		-- Нет, Валечка, это правда: она твоя мама.	21:27	0:43
правда	NOUN	1700	1700-1916	1700-1916_правда_3874-16		До рассвета труженики просидели за работой и, надо сказать правду, до того накурили в небольшой комнате, что стало трудно дышать.	59:65	0:129
правда	NOUN	1700	1700-1916	1700-1916_правда_3900-16		Всеми правдами и неправдами, еле-еле набрав 80 000 туманов, Моайед-уд-доулэ, всё еще не теряя надежды на будущий год наверстать потерю и набить карманы, Послал эти 80 000 туманов через "Малик-туджара" Насираддин-шаху в виде платы за право остаться генерал-губернатором Хорасана еще и на второй год.	6:14	0:298
правда	NOUN	1700	1700-1916	1700-1916_правда_3886-16		Вообще, основной тезис Лосского не может быть истолкован идеалистически; это чисто реалистический тезис, это критическое восстановление той правды, которая заключалась в наивном реализме.	140:146	0:187
правда	NOUN	1700	1700-1916	1700-1916_правда_3860-16		К русской же жизни не мог иначе возвратиться как преступным революционерным путем, в который тогда еще плохо верил, да и впоследствии, если правду сказать, верил только через болезненное, сверхъестественное усилие, через насильственное заглушение внутреннего голоса, беспрестанно шептавшего мне о нелепости моих надежд и моих предприятий.	140:146	0:338
правда	NOUN	1700	1700-1916	1700-1916_правда_3862-16		Паче же всего должно юристу, яко знающему довольно философию, всякому юридическому термину изобретать и составлять точные дефиниции, полные, без излишеств, ибо употребление слов неограниченных и сомнительных и двузнаменательных производит в суде великие беспорядки и отдаляет от правды к заблуждению и к ябедам.	279:285	0:311
правда	NOUN	1700	1700-1916	1700-1916_правда_3864-16		Это правда, но из этого не должно заключать, чтоб здесь было много истинных знатоков и любителей музыки.	4:10	0:104
правда	NOUN	1700	1700-1916	1700-1916_правда_3868-16		Наибольшая правда шутками открылась.	11:17	0:36
правда	NOUN	1700	1700-1916	1700-1916_правда_3870-16		Не правда ли, Гарт -- ее любишь, как мать Ну, так вот же -- на веревку Хорре!	3:9	0:77
правда	NOUN	1700	1700-1916	1700-1916_правда_3866-16		Эпигоны К.Аксакова и Хомякова договорились до обожествления народа и государства как фактической силы и, следовательно, до принципиального отрицания объективных начал правды и добра.	167:173	0:182
правда	NOUN	1700	1700-1916	1700-1916_правда_3884-16		Если бы дело по правде было, незачем обещать так много.	16:22	0:55
правда	NOUN	1700	1700-1916	1700-1916_правда_3872-16		Когда он, в мертвой тишине кабинета, сел, облокотившись на руки, над запыленным письменным столом покойника, в его воображении спокойно и значительно, одно за другим, стали представляться воспоминания последних дней, в особенности Бородинского сражения и того неопределимого для него ощущения своей ничтожности и лживости в сравнении с правдой, простотой и силой того разряда людей, которые отпечатались у него в душе под названием они.	336:343	0:436
правда	NOUN	1700	1700-1916	1700-1916_правда_3882-16		Невероятно--однако правда.	19:25	0:26
правда	NOUN	1700	1700-1916	1700-1916_правда_3880-16		"Каждый из нас за всех виноват" (мысль Достоевского) -- это лишь робкий намёк на правду.	81:87	0:88
правда	NOUN	1700	1700-1916	1700-1916_правда_3876-16		Оно делает милосердие Божие слепым, оно воображает себе Бога не имеющаго вечной и ничем не нарушаемой правды: оно заставляет его праведника и нечестиваго почитать за одно, что о Божестве и подумать страшно.	102:108	0:206
правда	NOUN	1700	1700-1916	1700-1916_правда_3914-16		Этим уже удается указание на физиологическое значение этих узлов, которое, по правде оказать, решительно неизвестно.	78:84	0:116
правда	NOUN	1700	1700-1916	1700-1916_правда_3908-16		Между многими наиполезнейшими ВАШЕГО ВЕЛИЧЕСТВА изобретениями Дух Божий, управляющий сердцем Вашим, вдохнул ВАШЕМУ ИМПЕРАТОРСКОМУ ВЕЛИЧЕСТВУ, чтоб любезнейшаго Сына Своего, Его Императорское Высочество, Государя Цесаревича, ПАВЛА ПЕТРОВИЧА, от младых ногтей наставить Православному Христианскому благочестию, и вперить в младенческую Его непорочную душу законы Того, которым Царие царствуют, и сильнии пишут правду, дабы чрез то сотворить Его Наследником и благочестия Своего, так как сотворили Его Наследником престола Своего.	408:414	0:527
правда	NOUN	1700	1700-1916	1700-1916_правда_3906-16		Буду ли я неправо говорить Я -- человек старый, за правду гонимый, мне скоро до бога идти, мне душой кривить -- расчета нет!	51:57	0:124
