identifier1	identifier2	annotator	judgment	comment	lemma
1918-1990_брат_1046-15	1992-2016_брат_1047-15	0	4		брат
1918-1990_брат_1090-15	1992-2016_брат_1091-15	0	3		брат
1918-1990_брат_1042-15	1992-2016_брат_1043-15	0	1		брат
1918-1990_брат_1092-15	1992-2016_брат_1093-15	0	3		брат
1918-1990_брат_1040-15	1992-2016_брат_1041-15	0	4		брат
1918-1990_брат_1088-15	1992-2016_брат_1089-15	0	4		брат
1918-1990_брат_1094-15	1992-2016_брат_1095-15	0	4		брат
1918-1990_брат_1038-15	1992-2016_брат_1039-15	0	3		брат
1918-1990_брат_1096-15	1992-2016_брат_1097-15	0	4		брат
1918-1990_брат_1052-15	1992-2016_брат_1053-15	0	1		брат
1918-1990_брат_1084-15	1992-2016_брат_1085-15	0	4		брат
1918-1990_брат_1060-15	1992-2016_брат_1061-15	0	4		брат
1918-1990_брат_1066-15	1992-2016_брат_1067-15	0	1		брат
1918-1990_брат_1082-15	1992-2016_брат_1083-15	0	2		брат
1918-1990_брат_1044-15	1992-2016_брат_1045-15	0	4		брат
1918-1990_брат_1048-15	1992-2016_брат_1049-15	0	4		брат
1918-1990_брат_1070-15	1992-2016_брат_1071-15	0	4		брат
1918-1990_брат_1078-15	1992-2016_брат_1079-15	0	3		брат
1918-1990_брат_1080-15	1992-2016_брат_1081-15	0	4		брат
1918-1990_брат_1076-15	1992-2016_брат_1077-15	0	3		брат
1918-1990_брат_1054-15	1992-2016_брат_1055-15	0	4		брат
1918-1990_брат_1058-15	1992-2016_брат_1059-15	0	2		брат
1918-1990_брат_1064-15	1992-2016_брат_1065-15	0	4		брат
1918-1990_брат_1056-15	1992-2016_брат_1057-15	0	4		брат
1918-1990_брат_1074-15	1992-2016_брат_1075-15	0	3		брат
1918-1990_брат_1072-15	1992-2016_брат_1073-15	0	1		брат
1918-1990_брат_1062-15	1992-2016_брат_1063-15	0	4		брат
1918-1990_брат_1086-15	1992-2016_брат_1087-15	0	1		брат
1918-1990_брат_1050-15	1992-2016_брат_1051-15	0	3		брат
1918-1990_брат_1068-15	1992-2016_брат_1069-15	0	1		брат
1918-1990_брат_1086-15	1992-2016_брат_1087-15	1	1		брат
1918-1990_брат_1084-15	1992-2016_брат_1085-15	1	4		брат
1918-1990_брат_1068-15	1992-2016_брат_1069-15	1	1		брат
1918-1990_брат_1088-15	1992-2016_брат_1089-15	1	2		брат
1918-1990_брат_1056-15	1992-2016_брат_1057-15	1	4		брат
1918-1990_брат_1092-15	1992-2016_брат_1093-15	1	3		брат
1918-1990_брат_1096-15	1992-2016_брат_1097-15	1	4		брат
1918-1990_брат_1082-15	1992-2016_брат_1083-15	1	1		брат
1918-1990_брат_1070-15	1992-2016_брат_1071-15	1	4		брат
1918-1990_брат_1074-15	1992-2016_брат_1075-15	1	3		брат
1918-1990_брат_1072-15	1992-2016_брат_1073-15	1	2		брат
1918-1990_брат_1080-15	1992-2016_брат_1081-15	1	1		брат
1918-1990_брат_1090-15	1992-2016_брат_1091-15	1	4		брат
1918-1990_брат_1076-15	1992-2016_брат_1077-15	1	4		брат
1918-1990_брат_1094-15	1992-2016_брат_1095-15	1	4		брат
1918-1990_брат_1050-15	1992-2016_брат_1051-15	1	2		брат
1918-1990_брат_1054-15	1992-2016_брат_1055-15	1	1		брат
1918-1990_брат_1058-15	1992-2016_брат_1059-15	1	1		брат
1918-1990_брат_1062-15	1992-2016_брат_1063-15	1	4		брат
1918-1990_брат_1060-15	1992-2016_брат_1061-15	1	4		брат
1918-1990_брат_1064-15	1992-2016_брат_1065-15	1	3		брат
1918-1990_брат_1052-15	1992-2016_брат_1053-15	1	4		брат
1918-1990_брат_1066-15	1992-2016_брат_1067-15	1	1		брат
1918-1990_брат_1038-15	1992-2016_брат_1039-15	1	3		брат
1918-1990_брат_1040-15	1992-2016_брат_1041-15	1	4		брат
1918-1990_брат_1078-15	1992-2016_брат_1079-15	1	4		брат
1918-1990_брат_1042-15	1992-2016_брат_1043-15	1	1		брат
1918-1990_брат_1048-15	1992-2016_брат_1049-15	1	4		брат
1918-1990_брат_1044-15	1992-2016_брат_1045-15	1	4		брат
1918-1990_брат_1046-15	1992-2016_брат_1047-15	1	3		брат
1918-1990_брат_1072-15	1992-2016_брат_1073-15	2	4		брат
1918-1990_брат_1046-15	1992-2016_брат_1047-15	2	3		брат
1918-1990_брат_1058-15	1992-2016_брат_1059-15	2	1		брат
1918-1990_брат_1084-15	1992-2016_брат_1085-15	2	4		брат
1918-1990_брат_1090-15	1992-2016_брат_1091-15	2	4		брат
1918-1990_брат_1048-15	1992-2016_брат_1049-15	2	4		брат
1918-1990_брат_1056-15	1992-2016_брат_1057-15	2	3		брат
1918-1990_брат_1078-15	1992-2016_брат_1079-15	2	4		брат
1918-1990_брат_1080-15	1992-2016_брат_1081-15	2	4		брат
1918-1990_брат_1054-15	1992-2016_брат_1055-15	2	4		брат
1918-1990_брат_1076-15	1992-2016_брат_1077-15	2	4		брат
1918-1990_брат_1060-15	1992-2016_брат_1061-15	2	2		брат
1918-1990_брат_1074-15	1992-2016_брат_1075-15	2	4		брат
1918-1990_брат_1052-15	1992-2016_брат_1053-15	2	3		брат
1918-1990_брат_1062-15	1992-2016_брат_1063-15	2	4		брат
1918-1990_брат_1068-15	1992-2016_брат_1069-15	2	4		брат
1918-1990_брат_1086-15	1992-2016_брат_1087-15	2	3		брат
1918-1990_брат_1064-15	1992-2016_брат_1065-15	2	4		брат
1918-1990_брат_1088-15	1992-2016_брат_1089-15	2	2		брат
1918-1990_брат_1066-15	1992-2016_брат_1067-15	2	1		брат
1918-1990_брат_1096-15	1992-2016_брат_1097-15	2	4		брат
1918-1990_брат_1050-15	1992-2016_брат_1051-15	2	4		брат
1918-1990_брат_1044-15	1992-2016_брат_1045-15	2	4		брат
1918-1990_брат_1094-15	1992-2016_брат_1095-15	2	4		брат
1918-1990_брат_1092-15	1992-2016_брат_1093-15	2	1		брат
1918-1990_брат_1038-15	1992-2016_брат_1039-15	2	1		брат
1918-1990_брат_1042-15	1992-2016_брат_1043-15	2	2		брат
1918-1990_брат_1070-15	1992-2016_брат_1071-15	2	4		брат
1918-1990_брат_1082-15	1992-2016_брат_1083-15	2	2		брат
