identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_дух_1462-14	1918-1990_дух_1463-14	0	4		дух
1700-1916_дух_1458-14	1918-1990_дух_1459-14	0	1		дух
1700-1916_дух_1494-14	1918-1990_дух_1495-14	0	1		дух
1700-1916_дух_1460-14	1918-1990_дух_1461-14	0	1		дух
1700-1916_дух_1464-14	1918-1990_дух_1465-14	0	4		дух
1700-1916_дух_1466-14	1918-1990_дух_1467-14	0	1		дух
1700-1916_дух_1492-14	1918-1990_дух_1493-14	0	1		дух
1700-1916_дух_1468-14	1918-1990_дух_1469-14	0	1		дух
1700-1916_дух_1470-14	1918-1990_дух_1471-14	0	2		дух
1700-1916_дух_1486-14	1918-1990_дух_1487-14	0	2		дух
1700-1916_дух_1502-14	1918-1990_дух_1503-14	0	1		дух
1700-1916_дух_1504-14	1918-1990_дух_1505-14	0	1		дух
1700-1916_дух_1490-14	1918-1990_дух_1491-14	0	2		дух
1700-1916_дух_1506-14	1918-1990_дух_1507-14	0	1		дух
1700-1916_дух_1488-14	1918-1990_дух_1489-14	0	1		дух
1700-1916_дух_1510-14	1918-1990_дух_1511-14	0	1		дух
1700-1916_дух_1512-14	1918-1990_дух_1513-14	0	4		дух
1700-1916_дух_1508-14	1918-1990_дух_1509-14	0	1		дух
1700-1916_дух_1456-14	1918-1990_дух_1457-14	0	4		дух
1700-1916_дух_1454-14	1918-1990_дух_1455-14	0	4		дух
1700-1916_дух_1500-14	1918-1990_дух_1501-14	0	1		дух
1700-1916_дух_1478-14	1918-1990_дух_1479-14	0	3		дух
1700-1916_дух_1498-14	1918-1990_дух_1499-14	0	1		дух
1700-1916_дух_1480-14	1918-1990_дух_1481-14	0	4		дух
1700-1916_дух_1476-14	1918-1990_дух_1477-14	0	4		дух
1700-1916_дух_1482-14	1918-1990_дух_1483-14	0	1		дух
1700-1916_дух_1474-14	1918-1990_дух_1475-14	0	2		дух
1700-1916_дух_1484-14	1918-1990_дух_1485-14	0	4		дух
1700-1916_дух_1496-14	1918-1990_дух_1497-14	0	4		дух
1700-1916_дух_1472-14	1918-1990_дух_1473-14	0	4		дух
1700-1916_дух_1472-14	1918-1990_дух_1473-14	1	2		дух
1700-1916_дух_1512-14	1918-1990_дух_1513-14	1	4		дух
1700-1916_дух_1508-14	1918-1990_дух_1509-14	1	1		дух
1700-1916_дух_1488-14	1918-1990_дух_1489-14	1	1		дух
1700-1916_дух_1454-14	1918-1990_дух_1455-14	1	4		дух
1700-1916_дух_1474-14	1918-1990_дух_1475-14	1	3		дух
1700-1916_дух_1498-14	1918-1990_дух_1499-14	1	1		дух
1700-1916_дух_1504-14	1918-1990_дух_1505-14	1	1		дух
1700-1916_дух_1490-14	1918-1990_дух_1491-14	1	1		дух
1700-1916_дух_1486-14	1918-1990_дух_1487-14	1	3		дух
1700-1916_дух_1502-14	1918-1990_дух_1503-14	1	1		дух
1700-1916_дух_1476-14	1918-1990_дух_1477-14	1	4		дух
1700-1916_дух_1510-14	1918-1990_дух_1511-14	1	1		дух
1700-1916_дух_1506-14	1918-1990_дух_1507-14	1	1		дух
1700-1916_дух_1470-14	1918-1990_дух_1471-14	1	2		дух
1700-1916_дух_1478-14	1918-1990_дух_1479-14	1	2		дух
1700-1916_дух_1468-14	1918-1990_дух_1469-14	1	2		дух
1700-1916_дух_1456-14	1918-1990_дух_1457-14	1	4		дух
1700-1916_дух_1494-14	1918-1990_дух_1495-14	1	3		дух
1700-1916_дух_1482-14	1918-1990_дух_1483-14	1	1		дух
1700-1916_дух_1458-14	1918-1990_дух_1459-14	1	4		дух
1700-1916_дух_1496-14	1918-1990_дух_1497-14	1	4		дух
1700-1916_дух_1460-14	1918-1990_дух_1461-14	1	1		дух
1700-1916_дух_1462-14	1918-1990_дух_1463-14	1	4		дух
1700-1916_дух_1492-14	1918-1990_дух_1493-14	1	2		дух
1700-1916_дух_1480-14	1918-1990_дух_1481-14	1	1		дух
1700-1916_дух_1464-14	1918-1990_дух_1465-14	1	4		дух
1700-1916_дух_1466-14	1918-1990_дух_1467-14	1	1		дух
1700-1916_дух_1500-14	1918-1990_дух_1501-14	1	1		дух
1700-1916_дух_1484-14	1918-1990_дух_1485-14	1	3		дух
1700-1916_дух_1492-14	1918-1990_дух_1493-14	2	3		дух
1700-1916_дух_1488-14	1918-1990_дух_1489-14	2	1		дух
1700-1916_дух_1490-14	1918-1990_дух_1491-14	2	1		дух
1700-1916_дух_1484-14	1918-1990_дух_1485-14	2	4		дух
1700-1916_дух_1486-14	1918-1990_дух_1487-14	2	4		дух
1700-1916_дух_1494-14	1918-1990_дух_1495-14	2	3		дух
1700-1916_дух_1496-14	1918-1990_дух_1497-14	2	4		дух
1700-1916_дух_1470-14	1918-1990_дух_1471-14	2	2		дух
1700-1916_дух_1512-14	1918-1990_дух_1513-14	2	4		дух
1700-1916_дух_1472-14	1918-1990_дух_1473-14	2	4		дух
1700-1916_дух_1474-14	1918-1990_дух_1475-14	2	1		дух
1700-1916_дух_1476-14	1918-1990_дух_1477-14	2	4		дух
1700-1916_дух_1478-14	1918-1990_дух_1479-14	2	2		дух
1700-1916_дух_1480-14	1918-1990_дух_1481-14	2	1		дух
1700-1916_дух_1482-14	1918-1990_дух_1483-14	2	1		дух
1700-1916_дух_1454-14	1918-1990_дух_1455-14	2	4		дух
1700-1916_дух_1456-14	1918-1990_дух_1457-14	2	4		дух
1700-1916_дух_1458-14	1918-1990_дух_1459-14	2	4		дух
1700-1916_дух_1460-14	1918-1990_дух_1461-14	2	1		дух
1700-1916_дух_1462-14	1918-1990_дух_1463-14	2	4		дух
1700-1916_дух_1466-14	1918-1990_дух_1467-14	2	3		дух
1700-1916_дух_1468-14	1918-1990_дух_1469-14	2	1		дух
1700-1916_дух_1502-14	1918-1990_дух_1503-14	2	1		дух
1700-1916_дух_1504-14	1918-1990_дух_1505-14	2	1		дух
1700-1916_дух_1500-14	1918-1990_дух_1501-14	2	1		дух
1700-1916_дух_1506-14	1918-1990_дух_1507-14	2	4		дух
1700-1916_дух_1508-14	1918-1990_дух_1509-14	2	1		дух
1700-1916_дух_1510-14	1918-1990_дух_1511-14	2	1		дух
1700-1916_дух_1498-14	1918-1990_дух_1499-14	2	3		дух
1700-1916_дух_1464-14	1918-1990_дух_1465-14	2	4		дух
