lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4746-14		Да, Васенька мне необходим, как советчик.	32:40	0:41
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4760-14		Сбитый с толку разными своими советчиками, лишенными эстетического разума и решительно не понимающими ни характера, ни пределов дарования великого писателя, он еще в "Мертвых душах" пытался поучать русских людей посредством лирических отступлений и возгласов: "Ах, тройка, птица-тройка!.." -- и потом в своем поползновении явить образец женщины в особе бессмысленной Улиньки, после пушкинской Татьяны, и в конце концов в "Переписке с друзьями" дошел до чертиков.	30:41	0:462
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4764-14		-- У вас теперь с собою 40 000 червонцев, -- сказал советчик, -- берите их и явитесь прямо ко двору.	52:60	0:100
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4758-14		Государь, бывший в продолжение многих лет в холодных к ней отношениях, стал под влиянием Крюднерши и других благочестивых советчиков опять с нею видимо сближаться и захотел вместе с нею отправиться на юг России.	122:132	0:211
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4754-14		А чтоб и ты, господин советчик, не остался без одежи, жалую тебе шубу с моего плеча!	22:30	0:84
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4766-14		-- Ге-гей! что горло-то дерешь, Игнат! -- послышался голос советчика: -- постой на час!	59:68	0:87
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4778-14		Барин в халате тоже не послушал советчика, разрешавшего сначала понатыкать рыбника в морду, а потом отпустить его.	32:41	0:114
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4748-14		Что ж, брат, в таком деле никто не советчик, особенно не зная совсем человека, о котором идет дело.	35:43	0:99
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4768-14		И чем моложе социалистическое движение в какой-либо стране, тем энергичнее должна быть поэтому борьба против всех попыток упрочить несоциалистическую идеологию, тем решительнее надо предостерегать рабочих от тех плохих советчиков, которые кричат против "преувеличения сознательного элемента" и т. п. Авторы "экономического" письма громят, в унисон с "Раб.	219:229	0:355
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4798-14		Такой рабочий скажет своим советчикам из "Р. Мысли" и из "Раб.	27:37	0:62
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4770-14		Но страх -- дурной советчик: ничего не придумали дивы.	19:27	0:54
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4796-14		-- Ну, нет, говорит, я вам в этом деле не советчик.	42:50	0:51
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4794-14		Длинный ряд ужасов, грядущих забот, беспокойств, тоски, предвидений, пессимистических мыслей -- чудовищное шествие мрачных видений, так часто вызываемое нашими советчиками докторами.	160:171	0:182
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4772-14		От Нагибина к г. NN Знаю я, что советовать в этом деле постороннему человеку нельзя, что лучшие тут советчики собственный рассудок и обстоятельства; коли хотите, скажу вам даже, что я и не послушал бы ваших советов и по-прежнему оставался бы в нерешимости, по-прежнему бы висел на воздухе.	100:109	0:289
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4790-14		-- Иван Федорович это был доктор, ее доктор, советчик.	45:53	0:54
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4780-14		Но не слушай случайных советчиков, что рекомендуют те или иные средства.	23:33	0:72
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4792-14		В восьмом рве носятся злые и лукавые советчики, заключенные в пожирающие их огненные языки.	37:46	0:91
советчик	NOUN	1700	1700-1916	1700-1916_советчик_4788-14		Глава восемнадцатая. Donna Sol Еще до переезда своего на лето в Павловск Гоголю пришлось познакомиться с молодою фрейлиной Александрой Осиповной Россет, которой суждено было впоследствии найти в нем лучшего друга и первого советчика в вопросах религии и совести.	223:232	0:262
