lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
облако	NOUN	1918	1918-1990	1918-1990_облако_2978-15		И в небе чудилось осмысленное, но тоже тайное движение облаков, а может быть, иных миров иль "ангелов крыла"!	55:62	0:109
облако	NOUN	1918	1918-1990	1918-1990_облако_2960-15		Потом все небо покрылось облаками, я не находил ни одной точки, чтобы верно держаться, и правил куда-то все влево, едва различая темнеющий берег.	25:33	0:145
облако	NOUN	1918	1918-1990	1918-1990_облако_2984-15		Если исходить из предположения, что вещество солнечной системы произошло не из раскаленного плазменного облака, а из холодной космической пыли, то это облако могло нагреться до температуры, равной примерно 2000C (при давлении 1000 атмосфер), под действием мощной ударной волны, возникшей при вспышке на Солнце.	104:110	0:310
облако	NOUN	1918	1918-1990	1918-1990_облако_3010-15		Солнце всходило, но вместе с ним с востока шли облака, и как-то не светлело.	47:53	0:76
облако	NOUN	1918	1918-1990	1918-1990_облако_3008-15		После ухода секретаря было еще время, и Фуст отыскал в чемодане карту, которую нашел не сразу, так как она была засунута меж шерстяных вещей, носков, свитеров и варежек, и, разложив ее, долго смотрел с таким пристальным вниманием, как будто он видел не нарисованные условные обозначения гор, рек и ледников, а настоящие ущелья, перевалы и вершины, выходящие из облаков.	361:368	0:369
облако	NOUN	1918	1918-1990	1918-1990_облако_3006-15		Граница Запада с Востоком, Севера с Югом, Азии с Европой, смешение православия с магометанством, истошные крики мулл и греческие песнопения христиан, кровь, месть, разбой, захват, подавление, рабство и насмешливый шепот господина ван Шонховена: "Это вы мне обещали, безумец, когда отрывали меня от финских хладных скал и спасали из гранитного заточения.." Раскаленные голые скалы, нависшие над головами; внезапно -- прохладный ветер, внезапно -- родниковая вода из запотевшего кувшина, какая-то бескрайняя неправдоподобная изумрудная долина, мерцающая в разрывах облаков где-то на страшной глубине; гранитный крест ермоловских времен, печеная форель на гигантских листьях лопуха, нечастые приземистые харчевни, именуемые духанами, горький дух от прелого прошлогоднего кизила и умопомрачительный аромат из винных бочек.	563:570	0:818
облако	NOUN	1918	1918-1990	1918-1990_облако_3004-15		Девушка в модной пилотке шла ей навстречу в облаке духов, как в отдельном, красиво пахнущем мире, отгороженная этим облаком от всех остальных людей и в то же время одаривая этих остальных своими духами.	44:50	0:202
облако	NOUN	1918	1918-1990	1918-1990_облако_3002-15		Когда их положили лицом вверх, Сергей Петрович увидел осколок голубого неба с белыми простоквашными облаками и яркие паруса бригов.	100:108	0:131
облако	NOUN	1918	1918-1990	1918-1990_облако_2962-15		Но песни и юность прошли, как проходят легкие, чистые облака майской весны, чтобы вдруг исчезнуть и оставить после себя уверенное июльское солнце.	54:60	0:146
облако	NOUN	1918	1918-1990	1918-1990_облако_3000-15		Что же касается мощного облачного покрова, то он оказался лишь внешне похожим на земные облака.	88:94	0:95
облако	NOUN	1918	1918-1990	1918-1990_облако_2958-15		Оттого ли, что встретили их радушно, оттого ли, что стояли мягкие весенние дни, когда земля только-только просыхает, а над крутыми сопками торопливо бегут белые нежные облака, сквозь которые пробивается теплое яркое солнце, а только Нине и Леониду здесь сразу понравилось.	168:174	0:272
облако	NOUN	1918	1918-1990	1918-1990_облако_2996-15		Среди прозрачнейших, беспыльных окрестностей молотильный сарай всегда был окружен облаком слегка светящейся на солнце пыли.	82:89	0:123
облако	NOUN	1918	1918-1990	1918-1990_облако_2994-15		Подойдя к окну, он видел темные низкие облака, блестящую улицу, зеленоватый свет фонаря на углу, но и это было теперь нужно и не щемило сердце.	39:45	0:143
облако	NOUN	1918	1918-1990	1918-1990_облако_2992-15		Сквозь тяжёлые облака табачного дыма блеснул огонь выстрела.	15:21	0:60
облако	NOUN	1918	1918-1990	1918-1990_облако_2990-15		События проходили над нею, точно облака и, касаясь ее, как тени облаков, не омрачали настроения; спокойно сообщив: "Лидия рассказывает, будто Государственный Совет хотели взорвать.	33:39	0:180
облако	NOUN	1918	1918-1990	1918-1990_облако_2988-15		Ласточки с визгом прорезали белизну облака.	36:42	0:43
облако	NOUN	1918	1918-1990	1918-1990_облако_2986-15		Он не прикрыт грядами облаков, на нем не увидишь ни резко очерченных материков, ни безбрежной глади океанов, ни голубых пятен озер, ни ленточек рек.	22:29	0:148
облако	NOUN	1918	1918-1990	1918-1990_облако_2982-15		Потом они все вместе исчезли за облаками, а бомбардировщики продолжали с ревом пикировать на мост, в который они, кажется, никак не могли попасть.	32:40	0:146
