identifier1	identifier2	annotator	judgment	comment	lemma
1700-1916_головка_1350-16	1992-2016_головка_1351-16	0	3		головка
1700-1916_головка_1340-16	1992-2016_головка_1341-16	0	4		головка
1700-1916_головка_1342-16	1992-2016_головка_1343-16	0	4		головка
1700-1916_головка_1344-16	1992-2016_головка_1345-16	0	4		головка
1700-1916_головка_1346-16	1992-2016_головка_1347-16	0	1		головка
1700-1916_головка_1372-16	1992-2016_головка_1373-16	0	1		головка
1700-1916_головка_1348-16	1992-2016_головка_1349-16	0	1		головка
1700-1916_головка_1336-16	1992-2016_головка_1337-16	0	1		головка
1700-1916_головка_1384-16	1992-2016_головка_1385-16	0	1		головка
1700-1916_головка_1370-16	1992-2016_головка_1371-16	0	4		головка
1700-1916_головка_1386-16	1992-2016_головка_1387-16	0	1		головка
1700-1916_головка_1382-16	1992-2016_головка_1383-16	0	4		головка
1700-1916_головка_1388-16	1992-2016_головка_1389-16	0	4		головка
1700-1916_головка_1390-16	1992-2016_головка_1391-16	0	1		головка
1700-1916_головка_1368-16	1992-2016_головка_1369-16	0	4		головка
1700-1916_головка_1392-16	1992-2016_головка_1393-16	0	3		головка
1700-1916_головка_1380-16	1992-2016_головка_1381-16	0	1		головка
1700-1916_головка_1394-16	1992-2016_головка_1395-16	0	1		головка
1700-1916_головка_1338-16	1992-2016_головка_1339-16	0	1		головка
1700-1916_головка_1358-16	1992-2016_головка_1359-16	0	4		головка
1700-1916_головка_1366-16	1992-2016_головка_1367-16	0	1		головка
1700-1916_головка_1364-16	1992-2016_головка_1365-16	0	1		головка
1700-1916_головка_1374-16	1992-2016_головка_1375-16	0	4		головка
1700-1916_головка_1352-16	1992-2016_головка_1353-16	0	1		головка
1700-1916_головка_1376-16	1992-2016_головка_1377-16	0	1		головка
1700-1916_головка_1354-16	1992-2016_головка_1355-16	0	1		головка
1700-1916_головка_1378-16	1992-2016_головка_1379-16	0	1		головка
1700-1916_головка_1360-16	1992-2016_головка_1361-16	0	1		головка
1700-1916_головка_1362-16	1992-2016_головка_1363-16	0	1		головка
1700-1916_головка_1356-16	1992-2016_головка_1357-16	0	4		головка
1700-1916_головка_1366-16	1992-2016_головка_1367-16	1	1		головка
1700-1916_головка_1382-16	1992-2016_головка_1383-16	1	4		головка
1700-1916_головка_1370-16	1992-2016_головка_1371-16	1	4		головка
1700-1916_головка_1384-16	1992-2016_головка_1385-16	1	1		головка
1700-1916_головка_1356-16	1992-2016_головка_1357-16	1	4		головка
1700-1916_головка_1364-16	1992-2016_головка_1365-16	1	1		головка
1700-1916_головка_1394-16	1992-2016_головка_1395-16	1	1		головка
1700-1916_головка_1354-16	1992-2016_головка_1355-16	1	1		головка
1700-1916_головка_1368-16	1992-2016_головка_1369-16	1	4		головка
1700-1916_головка_1390-16	1992-2016_головка_1391-16	1	2		головка
1700-1916_головка_1352-16	1992-2016_головка_1353-16	1	1		головка
1700-1916_головка_1392-16	1992-2016_головка_1393-16	1	3		головка
1700-1916_головка_1386-16	1992-2016_головка_1387-16	1	1		головка
1700-1916_головка_1378-16	1992-2016_головка_1379-16	1	1		головка
1700-1916_головка_1336-16	1992-2016_головка_1337-16	1	1		головка
1700-1916_головка_1348-16	1992-2016_головка_1349-16	1	1		головка
1700-1916_головка_1350-16	1992-2016_головка_1351-16	1	1		головка
1700-1916_головка_1374-16	1992-2016_головка_1375-16	1	4		головка
1700-1916_головка_1338-16	1992-2016_головка_1339-16	1	2		головка
1700-1916_головка_1362-16	1992-2016_головка_1363-16	1	1		головка
1700-1916_головка_1340-16	1992-2016_головка_1341-16	1	4		головка
1700-1916_головка_1388-16	1992-2016_головка_1389-16	1	2		головка
1700-1916_головка_1380-16	1992-2016_головка_1381-16	1	1		головка
1700-1916_головка_1360-16	1992-2016_головка_1361-16	1	1		головка
1700-1916_головка_1344-16	1992-2016_головка_1345-16	1	3		головка
1700-1916_головка_1372-16	1992-2016_головка_1373-16	1	4		головка
1700-1916_головка_1346-16	1992-2016_головка_1347-16	1	2		головка
1700-1916_головка_1376-16	1992-2016_головка_1377-16	1	4		головка
1700-1916_головка_1358-16	1992-2016_головка_1359-16	1	4		головка
1700-1916_головка_1342-16	1992-2016_головка_1343-16	1	4		головка
1700-1916_головка_1368-16	1992-2016_головка_1369-16	2	4		головка
1700-1916_головка_1370-16	1992-2016_головка_1371-16	2	1		головка
1700-1916_головка_1372-16	1992-2016_головка_1373-16	2	1		головка
1700-1916_головка_1378-16	1992-2016_головка_1379-16	2	1		головка
1700-1916_головка_1374-16	1992-2016_головка_1375-16	2	4		головка
1700-1916_головка_1376-16	1992-2016_головка_1377-16	2	4		головка
1700-1916_головка_1364-16	1992-2016_головка_1365-16	2	1		головка
1700-1916_головка_1392-16	1992-2016_головка_1393-16	2	4		головка
1700-1916_головка_1366-16	1992-2016_головка_1367-16	2	1		головка
1700-1916_головка_1352-16	1992-2016_головка_1353-16	2	1		головка
1700-1916_головка_1354-16	1992-2016_головка_1355-16	2	1		головка
1700-1916_головка_1350-16	1992-2016_головка_1351-16	2	1		головка
1700-1916_головка_1356-16	1992-2016_головка_1357-16	2	4		головка
1700-1916_головка_1358-16	1992-2016_головка_1359-16	2	4		головка
1700-1916_головка_1362-16	1992-2016_головка_1363-16	2	1		головка
