lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
план	NOUN	1700	1700-1916	1700-1916_план_3338-14		А как это исполнить Бодлевский долго ходил по комнате, закусывая губы, и обдумывал какой-то план решительного свойства.	92:96	0:119
план	NOUN	1700	1700-1916	1700-1916_план_3324-14		А вместо того в голове роятся безумные планы и все более погружают в этот зыбучий песок, где чем больше барахтаешься, тем больше вязнешь.	39:44	0:137
план	NOUN	1700	1700-1916	1700-1916_план_3332-14		Его обвинили в законопротивных замыслах и в знании умысла на цареубийство и в приготовлении товарищей к мятежу планами и советами.	111:118	0:130
план	NOUN	1700	1700-1916	1700-1916_план_3354-14		Пожалуйста, г. Струве, не откладывайте в долгий ящик своего великолепного плана!).	74:79	0:82
план	NOUN	1700	1700-1916	1700-1916_план_3356-14		-- Это так, -- согласился Бейгуш, -- но знаешь ли, была минута, когда я серьезно готов был отступиться от нашего плана и отказаться от денег и от всего!	113:118	0:152
план	NOUN	1700	1700-1916	1700-1916_план_3322-14		-- Она немедленно после вашего отъезда написала Волховскому в тюрьму, что план увоза верхами разрушился и что она уговорила извозчика-лихача за десять рублей увезти Волховского.	74:78	0:177
план	NOUN	1700	1700-1916	1700-1916_план_3320-14		Рассказав мне о своей жизни и о своих планах, она робко спросила, как было устроено покушение на великого князя Сергея.	38:44	0:119
план	NOUN	1700	1700-1916	1700-1916_план_3318-14		Поляна, версты две в окружности, облитая матовым лунным светом, с которым фантастически сливался свет от разноцветных фонариков, развешанных по опушке на деревьях; на дальнем плане, живописно разбросанные палатки лагеря, и между ними одна, отделявшаяся от прочих своими размерами.	175:180	0:280
план	NOUN	1700	1700-1916	1700-1916_план_3316-14		Лица эти, достойные всякого уважения и готовые на всякое боевое дело, были, однако, лишними в наших планах и оставались в бездействии.	100:106	0:134
план	NOUN	1700	1700-1916	1700-1916_план_3314-14		Выписочку мне нужно небольшую, но в которой бы содержалась "суть", и притом подлинными словами "Пролога" или "Минеи", потому что я имею такой план, -- что мальчик раскольничьей семьи, перешедший в господствующую церковь, -- живет с дедушкой, добрым стариком, но дремучим буквоедом, в землянке, на задворках и читает ему о мученицех в Севастии, 12 лет открывает в книге то, что дед "чел, чел да не узрел".	142:146	0:404
план	NOUN	1700	1700-1916	1700-1916_план_3312-14		Пронесся в одно из вокресений слух, что в Дурновке -- сходка, вырабатывается план наступления на усадьбу.	77:81	0:105
