lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4134-15		Встал около 6-ти, радио объявило -- Жуковский прорыв под Ржевом и Гжатском, ширина 100 км, глубина уже 40-50 км.	46:52	0:112
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4120-15		Были удары, прорывы, но все безрезультатно.	12:19	0:43
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4132-15		День 8 сентября прошел в тяжелых боях на стыке 3-й и 8-й русских армий, где атаковали корпуса внутренних флангов 4-й и 3-й австрийских армий, угрожая прорывом.	150:158	0:159
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4146-15		Там долбят месяцами одну точку, чтобы сделать прорыв и податься на четыре километра.	46:52	0:84
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4094-15		Эпилог Летом тысяча девятьсот сорок третьего года, после прорыва на Курской дуге и освобождения Орла возвращались порознь в свою общую войсковую часть недавно произведенный в младшие лейтенанты Гордон и майор Дудоров, первый из служебной командировки в Москву, а второй оттуда же из трехдневного отпуска.	57:64	0:304
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4096-15		Новые колдоговоры намечают также проведение широких мероприятий по подготовке квалифицированных рабочих кадров, главным образом из коренного казанского населения и мероприятий по механизации работ, по укреплению соцсоревнования и ударничества, по борьбе за трудовую дисциплину, по технике безопасности и т.д. К числу недочетов колдоговорной нужно отнести: недооценку кампании, как основного рычага в деле борьбы за промфинплан, со стороны ряда хозяйственных и профессиональных организаций (Риддер, Казхлопком и др.), что нашло свое конкретное выражение в противопоставлении колдоговорной кампании борьбы за ликвидацию прорывов, в стремлении отложить колдоговорную до окончания сева и т.п.	618:626	0:688
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4098-15		Если ружье сверлено под латунные гильзы, т.е. внутренний поперечник стволов соответствует внутреннему поперечнику латунной гильзы (такое ружье, имея канал по размерам 10 калибра, так и будет помечено при обязательных заграничных пробах), то стрельба из него папковой гильзой, более узкой внутри, даже при увеличенных пыжах поведет к прорыву газов и совершенной порче боя.	333:340	0:371
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4100-15		Может быть, у Микеланджело как раз прорывы в иное, не свойственное его веку, туманное, романтическое мышление, которое мог бы заметить именно Делакруа Может быть, он видел те клубящиеся фигуры, которые потом воплотил Роден Во всяком случае, хочется уберечь Микеланджело даже от такого гения, как Делакруа, рисовальщик львов!	35:42	0:324
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4102-15		В результате боя противнику нанесен большой урон в живой силе и технике; только на участке прорыва им оставлены сожженные и подбитые 32 броневые единицы, сотни трупов и большое количество различного военного имущества и снаряжения.	91:98	0:231
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4104-15		Что делать -- Нагнать бульдозеры и бросить к месту прорыва, -- предложил Байнуров.	51:58	0:82
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4106-15		Из его слов узнали о прорыве фронта генералом Татаркиным и о том, что дальнейшее развитие успеха приостановлено доно-ставропольцами и что сейчас идет кровопролитный бой под Дубовкой, куда стягиваются и белые и красные.	21:28	0:218
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4108-15		Михайловка с задачей прикрыть направление на Тарасовка и Вербовое с целью не допустить прорыва мотомехчастей противника; одним батальоном за счет этого полка занять район Басань, Тарасовка с задачей преградить движение противника с направлений Шевченко и Белогорье; находящийся в этом районе 4 отд. батальон погранвойск подчинить вам.	87:94	0:334
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4110-15		Обычно, после кровопролитного боя, бригада выводилась Брусиловым в "резерв командующем армией" для того лишь, чтобы через два-три дня опять быть брошенной на чью-либо выручку в самое пекло боя, в прорыв или в хаос отступающих частей.	196:202	0:233
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4112-15		Вебера "Прорыв".	8:14	0:16
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4114-15		Две полоски кожзаменителя склепывают медными или дюралевыми заклепками, под головки которых кладут широкие шайбочки во избежание прорыва материала.	129:136	0:147
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4116-15		Золин поехал на прорыв блокады в Ленинград, участвовал в танковой атаке, заменил артиллериста, разорвался снаряд в башне, два осколка в руку, перебита лучевая кость, пролежит два месяца в госпитале (об этом см. в "Правдисте").	16:22	0:226
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4152-15		Для прорыва по долинам на избранном направлении сосредоточивается основная часть сил полка с приданными средствами.	4:11	0:115
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4150-15		Обеспечить отражение возможных контратак противника и закрепление захваченных рубежей и опорных пунктов. б) Обеспечить ввод в прорыв подвижных соединений и действие их в глубине обороны противника.	126:132	0:197
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4122-15		Она предстает слоистой, и эта "находка" пылевых облаков, "заревого" слоя лишний раз подтверждает, насколько важен для геофизики прорыв в околоземное пространство.	128:134	0:162
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4124-15		Указания по борьбе с танками и самоходными орудиями противника при бое в глубине обороны (Данные 17.5.1944 г.) В ходе успешных наступательных боев наших войск в тактике противника с целью противодействия нашему наступлению при прорыве оборонительной полосы противника и особенно в период боя в глубине обороны выявился один из характерных методов его действий.	227:234	0:360
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4148-15		В этом приказе войскам корпуса указывалось -- к 24 часам ночи на 21 (8) февраля занять исходное положение для прорыва в направлении от фольварка Млынок на д.	110:117	0:157
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4118-15		Мы приказали Вольскому вводить механизированный корпус в прорыв.	57:63	0:64
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4140-15		Прорыв 1-й Конной смутил штаб, поразил наше командование, там поколебались.	0:6	0:75
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4144-15		Захват гитлеровцами Клухорского перевала через Главный Кавказский хребет создал угрозу прорыва к Черному морю и в район Кутаиси, а захват района Краснодара и горных подступов к Майкопу открывал выход к Новороссийску, Туапсе и Сухуми.	87:94	0:233
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4138-15		Историю нашего прорыва в своих записках он излагает так: "Два соседа, корпусные командиры, 30-го и 40-го, сговориться не сумели и только друг на друга жаловались.	15:22	0:162
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4142-15		-- Ерунда и празднословие, -- добавил он, а Тося небрежно спросила оратора: -- Чаю хотите Заговорили все сразу, не слушая друг друга, но как бы стремясь ворваться в прорыв скучной речи, дружно желая засыпать ее и память о ней своими словами.	165:171	0:241
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4136-15		В одном из прорывов и он принимал участие.	11:19	0:42
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4130-15		"То обстоятельство, что правительство смогло провести решение о созыве Государственного Совещания в Москве, а Советы стерпели его, показывало, действительно, как глубоко изменилось соотношение сил после вооруженного восстания 3-5 июля и прорыва, в ближайшие дни, русского фронта (в Тарнополe)".	237:244	0:294
прорыв	NOUN	1918	1918-1990	1918-1990_прорыв_4128-15		Эта любовь -- прорыв из алчного, жестокого мира в мир доверчивости и чистоты.	14:20	0:77
